"Term Code","Subject Code","Course"
"2228","CSC","CSC 480"
"2228","CSC","CSC 480"
"2228","CSC","CSC 480"
"2228","CSC","CSC 482"
"2228","CSC","CSC 482"
"2228","CSC","CSC 482"
"2228","CSC","CSC 482"
"2228","CSC","CSC 484"
"2228","CSC","CSC 484"
"2228","CSC","CSC 484"
"2228","CSC","CSC 484"
"2228","CSC","CSC 486"
"2228","CSC","CSC 486"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 491"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
"2228","CSC","CSC 492"
